Category,ID,Name,Summary,Incompatible With,Max Level,Compatible Items,Targets,Source Path
Armor,adrenaline,Adrenaline,Crossing below 25% ordinary health from combat damage grants 30% movement speed for seven seconds.,—,I,👖,leggings,armor/leggings/adrenaline.yml
Armor,aspect_of_the_enderman,Aspect of the Enderman,Increases block-interaction reach by 1 / 2 / 3 blocks while preserving line of sight and protection checks.,—,III,🥋 🪽,"chestplate, elytra",armor/chest_or_elytra/aspect_of_the_enderman.yml
Armor,berserker_plate,Berserker Plate,Direct damage scales continuously with missing health up to 10% / 20% / 30%.,—,III,🥋,chestplate,armor/chestplate/berserker_plate.yml
Armor,block_breather,Block Breather,Has a 25% / 50% / 75% chance to ignore a suffocation-damage event.,—,III,🪖,helmet,armor/helmet/block_breather.yml
Armor,cognition,Cognition,Reduces the displayed vanilla anvil XP cost by 10% / 20% / 30%.,—,III,🪖,helmet,armor/helmet/cognition.yml
Armor,counterstrike,Counterstrike,Qualifying combat damage stores one direct-attack bonus of 10% / 15% / 20%.,—,III,🥋,chestplate,armor/chestplate/counterstrike.yml
Armor,curse_of_hunger,Curse of Hunger,Increases ordinary exhaustion accumulation by 50%.,—,I,🪖,helmet,armor/helmet/curse_of_hunger.yml
Armor,darkness_cloak,Darkness Cloak,Eligible melee contact has a 5% / 7.5% / 10% chance to apply Darkness.,—,III,🥋 🪽,"chestplate, elytra",armor/chest_or_elytra/darkness_cloak.yml
Armor,deflect,Deflect,Has a 3% / 5% / 7% chance to completely negate a qualifying original incoming attack.,—,III,🥋,chestplate,armor/chestplate/deflect.yml
Armor,dragonhide,Dragonhide,Has a 10% / 15% / 20% chance to reduce a qualifying hit by 15% / 20% / 25%.,—,III,🥋,chestplate,armor/chestplate/dragonhide.yml
Armor,elemental_protection,Elemental Protection,Reduces qualifying magical and elemental damage by 10% / 15% / 20%.,—,III,🥾,boots,armor/boots/elemental_protection.yml
Armor,feather_step,Feather Step,"Prevents trampling farmland, turtle eggs and similar fragile blocks.",—,I,🥾,boots,armor/boots/feather_step.yml
Armor,fire_shield,Fire Shield,Eligible melee contact has a 5% / 7.5% / 10% chance to ignite the attacker for 2 / 3 / 4 seconds.,—,III,🥋 🪽,"chestplate, elytra",armor/chest_or_elytra/fire_shield.yml
Armor,focal,Focal,Deals 4% / 6% / 8% more direct damage when exactly one visible qualifying enemy is nearby and is the target.,—,III,🪖,helmet,armor/helmet/focal.yml
Armor,fortitude,Fortitude,Increases qualifying original direct-attack damage by 2% / 4% / 6%.,—,III,👖,leggings,armor/leggings/fortitude.yml
Armor,frost_ward,Frost Ward,Eligible melee contact has a 5% / 7.5% / 10% chance to slow and freeze the attacker.,—,III,🥋 🪽,"chestplate, elytra",armor/chest_or_elytra/frost_ward.yml
